Item No	Color	Code
78c11	Pearl Light Gray	4495208
78c11	Red	4267878
78c11	White	4119021
78c11	White	4275315
78c12	Black	4164468
78c12	Black	4523640
78c12	Blue	4492731
78c12	Dark Turquoise	4111946
78c12	Purple	4114738
78c12	Purple	4275294
78c13	Black	4111943
78c13	Black	4189289
78c13	Brown	4200280
78c13	Flat Silver	4143347
78c13	Flat Silver	4495186
78c13	Pearl Dark Gray	4174428
78c14	Black	4114745
78c14	Black	4275297
78c14	Black	6143035
78c14	Dark Blue	4164180
78c14	Dark Turquoise	4114396
78c14	Green	4119028
78c14	Red	4125203
78c14	Red	4268654
78c14	Trans-Light Blue	4556086
78c14	Yellow	4119099
78c14	Yellow	4502075
78c15	Black	4111944
78c15	Black	4189297
78c15	Black	4297950
78c15	Flat Silver	4275396
78c15	Flat Silver	4501125
78c15	Pearl Light Gray	4501125
78c16	Pearl Gold	4297020
78c17	Green	4141263
78c17	Red	4512925
78c18	Black	4113010
78c18	Brown	4200282
78c18	Flat Silver	4141673
78c18	Flat Silver	4495191
78c18	Flat Silver	4620068
78c18	Pearl Light Gray	4275381
78c18	Pearl Light Gray	4495191
78c19	Flat Silver	6170251
78c19	Trans-Light Blue	4631648
78c24	Dark Orange	4200284
78c24	Flat Silver	4144460
78c24	Flat Silver	4495197
78c24	Pearl Light Gray	4144460
78c26	Trans-Light Blue	6190258
78c31	Trans-Light Blue	4140410
78c31	Trans-Light Blue	4275329
194	Light Bluish Gray	4252635
194cx2	Yellow	4262022
194cx2	Yellow	6062211
353	Green	4219842
353	Green	426828
353	Green	4490235
353	Red	4219838
353	Red	426821
3957b	Black	395726
3957b	Blue	4166140
3957b	Dark Purple	6057451
3957b	Light Bluish Gray	4211473
3957b	Metallic Silver	6051882
3957b	Reddish Brown	4538252
3957b	White	395701
424	Black	622126
476	Black	4648298
476	Dark Bluish Gray	4617196
522	Black	4124171
522	Black	4543045
522	Black	6010593
522	Black	6106296
522	Bright Green	6219306
522	Brown	4227508
522	Dark Blue	4506798
522	Dark Blue	4508146
522	Dark Blue	4625528
522	Dark Bluish Gray	6005548
522	Dark Brown	6002261
522	Dark Green	4597294
522	Dark Green	6006256
522	Dark Purple	6004915
522	Dark Purple	6119246
522	Dark Red	4590759
522	Dark Red	6119414
522	Green	4636676
522	Green	4636677
522	Light Bluish Gray	4226857
522	Light Bluish Gray	4549632
522	Light Purple	4226856
522	Olive Green	6079665
522	Olive Green	6121957
522	Red	4143210
522	Red	4543048
522	Red	4552503
522	Red	4667764
522	Reddish Brown	4227505
522	Reddish Brown	4612653
522	Reddish Brown	6010592
522	Sand Green	6040330
522	Violet	4227827
522	White	4549636
522	White	4569746
522	White	6038779
522	White	6122194
522	White	6208737
522	Yellow	4294641
522c	Black	6106296
522c	Bright Light Orange	6186297
522c	Dark Blue	6136351
522c	Dark Bluish Gray	6121944
522c	Dark Brown	6240557
522c	Dark Green	6154345
522c	Green	6139734
522c	Red	6117295
522c	Red	6132209
522pb002	(Not Applicable)	6038370
522pb003	(Not Applicable)	6038374
522pb003	(Not Applicable)	6119419
522pb004	(Not Applicable)	6063290
522pb005	(Not Applicable)	6063262
522pb005	(Not Applicable)	6116033
522pb006	Dark Azure	6064652
522pb006	Dark Azure	6075346
522pb006	White	6079657
522pb007	Dark Purple	6087600
522pb008	(Not Applicable)	6147211
522pb009	White	6208812
522pb010	(Not Applicable)	6240234
551	Trans-Black	4502032
553a	Orange	4532970
553a	Red	4185891
553a	Red	4216657
553a	Tan	4162726
553a	Tan	4216648
553a	White	4124120
553a	White	4216652
553a	Yellow	4216656
553b	Black	4158779
553b	Black	4216660
553b	Blue	4265690
553b	Blue	4519904
553b	Copper	4258065
553b	Dark Bluish Gray	4161674
553b	Dark Green	4265392
553b	Dark Purple	4595891
553b	Dark Red	4251649
553b	Dark Tan	4609875
553b	Flat Silver	4613255
553b	Green	4270456
553b	Light Bluish Gray	4211637
553b	Light Gray	4216650
553b	Lime	4279734
553b	Medium Azure	6036500
553b	Orange	4216653
553b	Orange	4532970
553b	Pearl Gold	4569316
553b	Red	4185891
553b	Red	4216657
553b	Reddish Brown	4541715
553b	Tan	4162726
553b	Tan	4216648
553b	Tan	4519911
553b	White	4124120
553b	White	4216652
553b	Yellow	4185784
553b	Yellow	4216656
553b	Yellowish Green	6056416
553c	Black	4216660
553c	Blue	6167491
553c	Bright Light Blue	6133056
553c	Bright Pink	6096947
553c	Dark Bluish Gray	4161674
553c	Dark Green	4265392
553c	Dark Purple	6152517
553c	Dark Red	6028338
553c	Dark Red	6142022
553c	Dark Tan	4609875
553c	Flat Silver	4613255
553c	Light Bluish Gray	4211637
553c	Lime	4279734
553c	Medium Azure	6036500
553c	Orange	4532970
553c	Pearl Gold	4569316
553c	Red	4216657
553c	Reddish Brown	6096945
553c	Tan	6191654
553c	Trans-Black	6129181
553c	Trans-Clear	6093059
553c	Trans-Light Blue	6141588
553c	White	4216652
553c	Yellow	4216656
553c	Yellowish Green	6056416
553pb001	Copper	4506030
553pb002	White	4515667
553pb003	Black	4293189
553pb003	Black	6023418
553pb004	Light Bluish Gray	4533122
553pb004	Light Bluish Gray	6020826
553pb005	White	4545712
553pb006	Flat Silver	4617762
553pb006	Flat Silver	6027724
553pb006	Pearl Light Gray	4550102
553pb007	Dark Green	4569593
553pb007	Dark Green	6022360
553pb008	White	4590279
553pb009	Dark Blue	4618329
553pb010	Flat Silver	4613929
553pb011	Red	4616787
553pb012	White	4655683
